8.086,8.0704,8.1341,8.2962,8.4185,8.4225,8.4228
8.0483,8.0327,8.2982,8.4864,8.5169,8.5164,8.5164
8.247,8.3049,8.5492,8.6806,8.5794,8.5569,8.5511
8.4397,8.6221,8.901,9.0373,8.9531,8.9367,8.9331
8.0311,8.0912,8.3277,8.5709,8.6037,8.5645,8.525
7.8711,7.9862,8.139,8.3054,8.4919,8.4928,8.4332
7.6372,7.6899,7.8139,8.0246,8.434,8.5911,8.6896
7.7044,7.7906,8.0347,8.4123,9.0598,9.3042,9.4602
7.6214,7.7356,7.9488,8.3195,9.0644,9.3244,9.4602
7.4009,7.5096,7.7151,8.0813,8.8639,9.1648,9.3573
7.2518,7.3387,7.5036,7.7988,8.4391,8.6924,8.8647
6.8137,6.9407,7.1792,7.597,8.4469,8.7435,8.8908
6.5193,6.72,7.0578,7.5554,8.3844,8.6757,8.8461
6.346,6.6,7.0249,7.6239,8.4179,8.6325,8.7891
6.1516,6.5179,7.0997,7.828,8.4916,8.6026,8.7206
5.9648,6.3438,6.9377,7.6832,8.5207,8.7268,8.8173
5.9514,6.3323,6.9148,7.6564,8.6349,8.8682,8.905
6.015,6.4479,7.1078,7.9234,8.8656,9.0411,9.0173
5.9403,6.2862,6.877,7.7321,8.7776,8.9043,8.8482
5.565,5.8587,6.3861,7.2308,8.5658,8.8416,8.8106
5.3158,5.5876,6.0774,6.8681,8.1658,8.481,8.5533
4.9985,5.271,5.7749,6.6328,8.2548,8.7629,8.9848
4.5916,4.9031,5.4793,6.4602,8.3073,8.8777,9.1209
3.9654,4.2996,4.9104,5.9241,7.7024,8.1858,8.3554
4.0839,4.5179,5.2936,6.5221,8.393,8.7429,8.6837
4.1446,4.6073,5.4206,6.665,8.3666,8.5899,8.4501
4.3361,4.8914,5.8289,7.1432,8.5017,8.5073,8.2958
4.0479,4.6148,5.589,7.0088,8.6745,8.7737,8.5581
3.9612,4.4527,5.3126,6.6168,8.3775,8.6231,8.5383
3.8511,4.2487,4.9744,6.1759,8.2692,8.8258,8.9857
3.4269,3.8213,4.5419,5.7373,7.8319,8.3994,8.5902
3.2746,3.6324,4.3019,5.4681,7.8144,8.6367,9.1069
2.9299,3.2864,3.9571,5.1398,7.6087,8.5402,9.1681
3.3973,3.7887,4.5556,5.8856,7.9683,8.4088,8.6059
3.6287,4.1058,4.985,6.3485,8.0213,8.2645,8.344
3.4046,3.7576,4.5692,6.0421,7.8686,8.0884,8.1463
3.2513,3.5915,4.2705,5.4837,7.499,7.9616,8.1833
3.1607,3.4099,3.9574,5.0508,7.135,7.6802,7.9663
3.1881,3.4485,4.003,5.0849,7.1578,7.722,8.0319
3.1192,3.3049,3.7859,4.8756,7.1093,7.6967,7.9976
3.3751,3.7089,4.3059,5.2661,6.9422,7.495,7.9232
3.3322,3.6046,4.1012,4.9289,6.4897,7.0572,7.5364
3.3583,3.6663,4.2126,5.0742,6.5017,6.9435,7.2807
3.2697,3.4859,3.8991,4.6358,6.1126,6.6278,7.0099
3.2367,3.5023,3.9713,4.7116,6.0121,6.4954,6.957
3.336,3.5923,4.0447,4.7616,6.0395,6.5083,6.9222
3.4282,3.74,4.2804,5.107,6.4598,6.8943,7.2277
3.4258,3.7632,4.3274,5.1476,6.4552,6.9036,7.2691
3.3205,3.6403,4.1794,4.9673,6.2156,6.659,7.0616
3.812,4.2076,4.8105,5.588,6.7961,7.2111,7.4974
4.1936,4.7224,5.439,6.2826,7.4652,7.7022,7.7859
4.6266,5.2343,6.0181,6.7621,7.5206,7.7621,7.9402
4.9307,5.488,6.2375,6.9176,7.4798,7.822,8.214
5.1004,5.7618,6.4383,7.006,7.8243,8.1088,8.2848
5.0575,5.6095,6.2119,6.7415,7.4944,7.768,7.9582
5.1446,5.6379,6.3035,6.8735,7.4934,7.7568,8.0179
5.5621,6.0608,6.7542,7.4126,7.8604,8.1205,8.4913
